id,name
0,
1,"ООО ""КАРСАР"""
2,"ООО ""КИТ"""
3,"ООО ""УЭТП-НКНХ"""
4,"Филиал АО ""Татэнерго"" Казанские тепловые сети"
5,"ПАО ""Нижнекамскнефтехим"""
6,"ОАО ""ТАИФ-НК"""
7,"ООО ""Нижнекамское предприятие ""Центромонтажавтоматика"" (""НП ""ЦМА"")"
8,"АО""Азнакаевский завод Нефтемаш"""
9,"ООО ""ТАИФ-СТ"""
10,"ОАО ""НМУ-3"""
11,"Филиал АО ""Татэнерго"" Казанская ТЭЦ-1"
12,"ОАО ""ТГК-16"""
13,"ООО ""СпецЭлектроРемонт"""
14,"ООО трест ""ТСНХРС"""
15,"ООО ""УАТ-НКНХ"""
16,ООО Агава
17,"АО ""АММОНИЙ"""
18,"ООО ""КЗССМ"""
