id,tender_id,content,quantity,price_one,price_all
0,,,,,
1,201513,Ремонт поломоечной машины,"1,00 шт","30 600,00","30 600,00"
2,201456,Hyperline TTC-4268-GS-RAL9004 Телекоммуникационный Шкаф,"1,00 шт.","31 782,38","31 782,38"
3,200223,"Теплоизоляция из негоручего прошивного мата на основе базальтового волокна толщиной 30мм, армированного стальной оцинкованной сеткой.","0,83 куб.м",нет стартовой цены,нет стартовой цены
4,197777,Арматура стальная ребристая D12мм.,"0,22 т.","33 000,00","7 260,00"
5,197777,Уголок стальной 50*50*4,"0,18 т.","37 500,00","6 750,00"
6,197777,Швеллер 8П,"0,17 т.","36 000,00","6 120,00"
7,197777,Пруток круглый 09Г2С D30,"0,06 т.","51 000,00","3 060,00"
8,197777,"Проволка вязальная (катанка), ст 3 Ф-2мм","50,00 кг.","55,00","2 750,00"
9,197777,"Проволка вязальная (катанка), ст 3 Ф-3мм","100,00 кг.","55,00","5 500,00"
10,197777,Лист Б-ПН-3х1250х2500 Ст3,"0,60 т.","36 000,00","21 600,00"
11,197777,"Лист 4,0 ПВ-406 Просечно-вытяжной (ПВЛ)","0,50 т.","35 355,00","17 677,50"
12,197777,"Профнастил ОЦ. С 21-0,6-6000","64,00 м2","324,00","20 736,00"
13,197777,Уголок 35х35х4 Ст. 3,"0,30 т.","37 500,00","11 250,00"
14,197777,Уголок 50х50х4 Ст. 3,"0,40 т.","37 500,00","15 000,00"
15,197777,"Швеллер 6,5-В Ст. 35","0,60 т.","37 000,00","22 200,00"
16,197777,Шестигранник 24-В Ст. 35,"0,30 т.","38 000,00","11 400,00"
17,197777,Шестигранник 22-В Ст. 35,"0,20 т.","38 000,00","7 600,00"
18,197777,"Лист Б-ПН 1,8х1250х2500 Сп 5","0,09 т.","36 000,00","3 240,00"
19,197777,Круг 14-В Ст. 3 сп,"0,12 т.","35 600,00","4 272,00"
20,197777,Уголок равнополочный 100х100х8 ст.3,"0,15 т.","37 500,00","5 625,00"
21,197777,"Швеллер №16, ст.3","0,16 т.","37 000,00","5 920,00"
